ScreenName,FollowingCount
maturban1,15
SciTechProf,300
beatles__beatle,54
KyleStr,147
PeterOnymos,150
MaxJ_K,248
WebSciDL,16
jakkbl,116
samy_tawab,32
jschneider,2124
Milena_Dobreva,196
iFromm,446
Philipp_Mayr,163
violetailik,210
cgknowles,556
x_twentythree,1274
GerhardGossen,75
kvanmalssen,417
chrisbellekom,1882
itroch,142
PamelaSW,714
TessaFallon,241
annettestr,1193
toinette1607,48
StanZheng,1281
SimpleSimon2013,1
Cypherpunkz,1926
subotic,759
mdiazdigpres,292
AVArchivist,622
OccupyRhetoric,1217
erikchoi,170
chglass,127
synchro08,1881
usa8951,77
RajnishMallick,71
tamingdata,116
NKrabben,493
ISRJINDIA,908
myerscarpenter,154
smalljones,3348
jonippolito,183
peplluis7,70
kristsi,50
athurman,94
evdvelde,221
covenant_2013,287
ibnesayeed,72
pj_webster,720
ratt_6,57
GerdaMueller2,422
archiveis,290
FjellHenning,35
cottagelabs,981
stevehit,83
clarellewellyn,102
UKWebArchive,1058
bethcron,1018
davidrapin,46
inadlweb,279
AricAumann,155
www2013rio,1429
ranakhurshid278,157
iPRES2013,245
metalinker,1467
joc7188,35
kzakza,2015
ehetzner,81
Mercedesew211,1445
archivesmatter,879
yasmina_anwar,240
WSUNDSA,269
CamtheWicked,33
RjLyric,1321
aheshamSalem,1058
albakhakh,1131
lnsails,4
abrennr,210
archivetype,707
StevenBird,190
mcdonald,1635
rdhyee,1217
hryanski,356
ttso,668
tpdl2013,178
stillinsky,342
NorfolkVA_,645
klischka,1563
tedlawless,538
hariharshankar,101
kevingashley,498
mjgiarlo,597
vphill,74
trevormunoz,1657
tondelooijer,996
WebArchivists,115
bfluzin,2379
Jakdemir,459
benkeele,424
AlephArchives,1143
GeorgeRBuchanan,35
wrap_ed,290
OpenResearchExe,1022
kimiasn,15
GanzMani,109
ldmm,456
ericleasemorgan,424
pigandpublish,388
lwynholds,137
cweindorf,522
monicaDYOIdavis,142
WPKefi,1390
Milbala,19
jcdl2013,672
schuurmanna,442
mzarro,509
cni_org,819
THEBenLeBrun,851
junklight,634
gmj2053,60
Magda69425548,384
mwittin,297
JesseforCouncil,1884
BeachAutoBroker,220
ahmedkalka97,15
DwiDwisyafitri,30
grotophorst,154
maherzog,92
iceskatingbears,850
plbogen,61
_Mckaayla95pi,1789
e9l8zKaiia_v_,1151
xuxomln,92
SouthernKiaGB,1734
atomotic,576
edsu,413
machawk1,57
kylewilliams87,308
Alisia1092,65
Elliee_1dv1,1486
hg_Adriaannag_,1787
prellem,33
tywalters1,267
ldirks,408
jcdl2012,11
landeart,40
witch_doctor81,3
netpreserve,123
NDSA2,33
pkeane,1218
meblake,61
unknown_6,27
BizApproved,56
Erikfreiser,1731
AAlasaadi,123
archiveitorg,254
awptix,8
klhiggins33,219
ChuChoResano,232
fmccown,97
LizaPotts,805
diglib,145
hhockx,187
RobVesse,298
anjacks0n,423
Faryane,11
lljohnston,985
mart1nkle1n,296
smartfit_atees,1592
furuta,145
Ghozia,436
aalsum,243
joansm1th,35
MarthaBunton,778
AT_Webarchive,76
sorgentelinda,312
agrotke,514
jlbollen,71
sspranay,26
Galsondor,68
bla222,484
shawnmjones,22
jgsmith,345
bhaslhofer,131
sshreeves,1586
TagTrees,1908
kboughida,745
mousta,426
TeriBerg96,815
nullhandle,289
twarko,366
k8lin,226
OTHSEAFOOD,427
HCIR_GeneG,341
hanysalaheldeen,107
hochstenbach,474
carltonnorthern,130
olyerickson,315
williamjnixon,624
justinfbrunelle,72
weiglemc,64
umurthy,266
blefurgy,859
Julibabe21,32
azaroth42,264
hvdsomp,224
ccmarshall,241
phonedude_mln,74
