ScreenName,FollowerCount
PeterOnymos,2
MaxJ_K,279
WebSciDL,15
jakkbl,83
samy_tawab,11
jschneider,2058
Milena_Dobreva,102
iFromm,360
Philipp_Mayr,269
violetailik,71
cgknowles,168
x_twentythree,206
GerhardGossen,27
kvanmalssen,698
chrisbellekom,1427
itroch,93
PamelaSW,715
TessaFallon,276
annettestr,854
toinette1607,1
StanZheng,309
SimpleSimon2013,0
Cypherpunkz,316
subotic,326
mdiazdigpres,39
AVArchivist,615
OccupyRhetoric,890
erikchoi,63
chglass,2
synchro08,73
usa8951,13
RajnishMallick,20
tamingdata,151
NKrabben,246
ISRJINDIA,497
myerscarpenter,101
smalljones,3491
jonippolito,448
peplluis7,219
kristsi,20
athurman,57
evdvelde,136
covenant_2013,72
ibnesayeed,103
pj_webster,696
ratt_6,4
GerdaMueller2,128
archiveis,29
FjellHenning,8
cottagelabs,442
stevehit,496
clarellewellyn,61
UKWebArchive,2843
bethcron,385
davidrapin,54
inadlweb,455
AricAumann,52
www2013rio,1038
ranakhurshid278,12
iPRES2013,197
metalinker,78
joc7188,21
kzakza,1968
ehetzner,22
Mercedesew211,107
archivesmatter,388
yasmina_anwar,87
WSUNDSA,88
CamtheWicked,11
RjLyric,366
albakhakh,9375
lnsails,2
abrennr,88
archivetype,483
StevenBird,660
mcdonald,1804
rdhyee,1239
hryanski,228
ttso,431
tpdl2013,231
stillinsky,241
NorfolkVA_,134
klischka,10104
tedlawless,119
hariharshankar,20
kevingashley,1024
mjgiarlo,978
vphill,341
trevormunoz,2442
tondelooijer,621
WebArchivists,863
bfluzin,10038
Jakdemir,384
benkeele,191
AlephArchives,226
GeorgeRBuchanan,146
wrap_ed,227
OpenResearchExe,563
kimiasn,7
GanzMani,11
ldmm,151
ericleasemorgan,405
pigandpublish,109
lwynholds,77
cweindorf,155
monicaDYOIdavis,37
WPKefi,400
Milbala,0
jcdl2013,353
schuurmanna,99
mzarro,437
cni_org,1546
THEBenLeBrun,264
junklight,292
gmj2053,49
Magda69425548,242
mwittin,480
JesseforCouncil,557
BeachAutoBroker,41
ahmedkalka97,0
DwiDwisyafitri,1
grotophorst,259
maherzog,50
iceskatingbears,698
plbogen,62
_Mckaayla95pi,212
e9l8zKaiia_v_,119
xuxomln,62
SouthernKiaGB,318
atomotic,265
edsu,2448
machawk1,77
kylewilliams87,109
Alisia1092,26
Elliee_1dv1,150
hg_Adriaannag_,188
prellem,10
tywalters1,267
ldirks,340
jcdl2012,69
landeart,14
witch_doctor81,0
netpreserve,591
NDSA2,485
pkeane,756
meblake,51
unknown_6,0
BizApproved,12
Erikfreiser,395
AAlasaadi,52
archiveitorg,793
awptix,5
klhiggins33,81
ChuChoResano,62
fmccown,192
LizaPotts,1205
diglib,193
hhockx,394
RobVesse,539
anjacks0n,632
Faryane,11
lljohnston,1391
mart1nkle1n,74
smartfit_atees,396
furuta,94
Ghozia,55
aalsum,156
joansm1th,24
MarthaBunton,441
AT_Webarchive,294
sorgentelinda,25
agrotke,585
sspranay,12
Galsondor,37
bla222,392
shawnmjones,19
jgsmith,342
bhaslhofer,159
sshreeves,1729
TagTrees,238
kboughida,739
mousta,407
TeriBerg96,78
nullhandle,411
twarko,1401
k8lin,568
OTHSEAFOOD,157
HCIR_GeneG,859
hanysalaheldeen,118
hochstenbach,811
carltonnorthern,122
olyerickson,567
williamjnixon,770
justinfbrunelle,89
weiglemc,51
umurthy,130
blefurgy,1927
Julibabe21,9
azaroth42,782
hvdsomp,928
phonedude_mln,200
